"Statistic","Year","Age Group","UNIT","Male","Female"
"Median Annual Earnings","2022","15 - 24 years","Euro","22845","19737"
"Median Annual Earnings","2022","25 - 29 years","Euro","38620","36747"
"Median Annual Earnings","2022","30 - 39 years","Euro","47603","42350"
"Median Annual Earnings","2022","40 - 49 years","Euro","52362","42297"
"Median Annual Earnings","2022","50 - 59 years","Euro","50286","38351"
"Median Annual Earnings","2022","60 years and over","Euro","39813","29459"
