"Statistic","Year","Age Group","UNIT","Male","Female"
"Median Annual Earnings","2011","15 - 24 years","Euro","17712","15859"
"Median Annual Earnings","2011","25 - 29 years","Euro","28515","27397"
"Median Annual Earnings","2011","30 - 39 years","Euro","38552","34573"
"Median Annual Earnings","2011","40 - 49 years","Euro","44861","31041"
"Median Annual Earnings","2011","50 - 59 years","Euro","44386","29524"
"Median Annual Earnings","2011","60 years and over","Euro","32919","19719"
