"Statistic","Year","Age Group","UNIT","Male","Female"
"Median Annual Earnings","2014","15 - 24 years","Euro","17648","15128"
"Median Annual Earnings","2014","25 - 29 years","Euro","28137","26414"
"Median Annual Earnings","2014","30 - 39 years","Euro","36977","34031"
"Median Annual Earnings","2014","40 - 49 years","Euro","44601","32838"
"Median Annual Earnings","2014","50 - 59 years","Euro","44131","30576"
"Median Annual Earnings","2014","60 years and over","Euro","33094","20700"
