"Statistic","Year","UNIT","Male","Female"
"Healthy Life Years (HLY) at 65","2014","Years","11.4","12.3"
"Healthy Life Years (HLY) at 65","2015","Years","11.4","12.1"
"Healthy Life Years (HLY) at 65","2016","Years","12","13.2"
"Healthy Life Years (HLY) at 65","2017","Years","12.5","13.4"
"Healthy Life Years (HLY) at 65","2018","Years","12","13.8"
"Healthy Life Years (HLY) at 65","2019","Years","13.1","14.1"
"Healthy Life Years (HLY) at 65","2020","Years","11.3","12.5"
